Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place	AHMED (SN)	BOYDEN (COM)	FERNANDEZ (IND)	GONZÁLEZ (NDPo)	GREEN (LIB)	LEROUX (IND)	MCLEAN (GPO)	SMITHERMAN (LPO)	TAYLOR (PCO)	% LPO	% MMP	.4LPO*0.6MMP	Location of voting placed
94	546		42	43	0	3	0	88	174	85 The Esplanade - Old York Tower	1	0	1	22	2	0	5	43	13	49.43%	48.86%	49.09%	85 The Esplanade - Old York Tower
94	490		86	95	0	2	4	187	397	887-889 Bay Street - Opera Place	1	2	1	33	5	1	20	86	36	46.49%	50.80%	49.08%	887-889 Bay Street - Opera Place
94	438		50	42	0	2	2	96	274	Rose Avenue Junior Public School	0	0	0	19	2	0	9	53	10	56.99%	43.75%	49.05%	Rose Avenue Junior Public School
94	477B		105	98	2	1	3	209	380	50 Alexander Street - Village Green	1	1	1	50	1	1	17	108	28	51.92%	46.89%	48.90%	50 Alexander Street - Village Green
94	512		30	40	1	1	1	73	166	261 Jarvis Street	1	1	0	22	3	8	0	29	9	39.73%	54.79%	48.77%	261 Jarvis Street
94	60		112	162	0	7	0	281	777	St. Joseph's College School	3	2	1	82	12	0	39	98	41	35.25%	57.65%	48.69%	St. Joseph's College School
94	84		53	57	0	3	0	113	298	Sprucecourt Junior Public School	1	1	2	32	2	0	6	52	17	46.02%	50.44%	48.67%	Sprucecourt Junior Public School
94	433		88	88	0	5	1	182	398	Rose Avenue Junior Public School	2	1	0	27	7	2	7	87	44	49.15%	48.35%	48.67%	Rose Avenue Junior Public School
94	473A		81	74	0	3	0	158	367	1001 Bay Street	0	0	0	17	1	0	12	81	47	51.27%	46.84%	48.61%	1001 Bay Street
94	435A		56	67	3	15	0	141	447	Rose Avenue Junior Public School	0	3	2	41	1	0	4	70	19	50.00%	47.52%	48.51%	Rose Avenue Junior Public School
94	427		57	57	0	1	1	116	234	85 Bloor Street East	0	0	1	18	2	0	6	55	34	47.41%	49.14%	48.45%	85 Bloor Street East
94	48		29	25	0	0	1	55	150	877 Yonge Street - Fellowship Towers	0	0	0	7	1	1	7	29	10	52.73%	45.45%	48.36%	877 Yonge Street - Fellowship Towers
94	565		142	111	0	2	4	259	428	109 Front Street	0	1	0	35	6	0	22	145	49	56.20%	42.86%	48.19%	109 Front Street
94	535		63	53	0	0	0	116	211	168 King Street East - King George Square	0	0	0	8	0	0	13	60	35	51.72%	45.69%	48.10%	168 King Street East - King George Square
94	460		129	149	1	30	0	309	848	Wellesley Community Centre	3	2	5	98	7	0	22	145	22	47.70%	48.22%	48.01%	Wellesley Community Centre
94	554B		83	104	8	0	0	195	366	25 The Esplanade	0	0	0	28	1	0	32	77	55	39.90%	53.33%	47.96%	25 The Esplanade
94	424		78	69	0	0	8	155	490	Rose Avenue Junior Public School	1	0	4	33	2	1	3	82	29	52.90%	44.52%	47.87%	Rose Avenue Junior Public School
94	554A		106	93	0	1	0	200	335	25 The Esplanade	0	0	0	32	2	0	21	98	44	49.75%	46.50%	47.80%	25 The Esplanade
94	488		42	56	1	4	7	110	352	220 Oak Street	2	2	0	39	3	1	4	47	11	43.12%	50.91%	47.79%	220 Oak Street
94	485		56	57	1	15	0	129	278	55 Bleecker Street - Winchester Square Apartments	3	1	1	16	6	1	7	67	24	53.17%	44.19%	47.78%	55 Bleecker Street - Winchester Square Apartments
94	519		35	31	0	0	1	67	143	Metta Housing Co-operative	2	0	2	21	0	2	0	33	6	50.00%	46.27%	47.76%	Metta Housing Co-operative
94	506		13	31	10	2	0	56	215	Le Collège français	1	1	0	20	2	0	5	20	6	36.36%	55.36%	47.76%	Le Collège français
94	454		38	31	3	1	0	73	145	École élémentaire catholique Sacré-Coeur	0	0	0	11	0	0	8	40	13	55.56%	42.47%	47.70%	École élémentaire catholique Sacré-Coeur
94	494		87	72	0	5	1	165	280	484 Church Street - City Park Co-operative	2	0	2	38	2	2	17	87	13	53.37%	43.64%	47.53%	484 Church Street - City Park Co-operative
94	469		17	13	0	0	0	30	119	Wellesley Community Centre	0	0	1	9	0	0	2	16	2	53.33%	43.33%	47.33%	Wellesley Community Centre
94	126		141	133	2	4	0	280	535	St. Lawrence Market North	2	0	2	47	2	0	41	130	53	46.93%	47.50%	47.27%	St. Lawrence Market North
94	569		67	58	0	2	0	127	219	925 Bay Street - Bay Club	1	0	0	15	0	1	9	63	38	49.61%	45.67%	47.24%	925 Bay Street - Bay Club
94	100		21	28	0	1	0	50	197	John Innes Community Centre	0	0	0	15	0	0	8	17	10	34.00%	56.00%	47.20%	John Innes Community Centre
94	462		75	75	1	0	4	155	173	25 St. Mary Street - La Place Marie	0	1	0	29	2	0	10	69	41	45.39%	48.39%	47.19%	25 St. Mary Street - La Place Marie
94	37		62	62	0	3	0	127	386	École élémentaire catholique Sacré-Coeur	1	1	0	13	2	0	16	56	37	44.44%	48.82%	47.07%	École élémentaire catholique Sacré-Coeur
94	478		119	80	0	0	1	200	281	484 Church Street - City Park Co-operative	0	0	0	44	1	7	16	114	16	57.58%	40.00%	47.03%	484 Church Street - City Park Co-operative
94	547		69	65	0	3	0	137	225	110 Esplanade - Performing Arts Lodge	1	0	0	42	0	0	7	63	24	45.99%	47.45%	46.86%	110 Esplanade - Performing Arts Lodge
94	482		201	175	1	10	0	387	608	40 Homewood Avenue	2	2	3	85	5	2	47	188	49	49.09%	45.22%	46.77%	40 Homewood Avenue
94	551		31	36	0	1	0	68	174	St. Michael Catholic School	1	1	0	16	3	0	13	25	8	37.31%	52.94%	46.69%	St. Michael Catholic School
94	510		60	54	2	10	1	127	323	251 Sherbourne - Dan Harrison Apartments	4	2	1	36	4	1	2	65	8	52.85%	42.52%	46.65%	251 Sherbourne - Dan Harrison Apartments
94	432A		80	94	2	6	17	199	611	Wellesley Community Centre	5	6	2	70	6	0	5	91	14	45.73%	47.24%	46.63%	Wellesley Community Centre
94	46		94	81	2	1	0	178	300	St. Martin's School / A.P.P.L.E. Alternative	0	1	0	20	2	0	35	86	34	48.31%	45.51%	46.63%	St. Martin's School / A.P.P.L.E. Alternative
94	415		54	48	0	1	0	103	148	15 McMurrich Street - The St. George	0	0	0	8	2	0	11	48	34	46.60%	46.60%	46.60%	15 McMurrich Street - The St. George
94	570		76	60	1	3	2	142	302	909 Bay Street - The Allegro	0	1	0	13	2	0	9	72	39	52.94%	42.25%	46.53%	909 Bay Street - The Allegro
94	473B		63	59	2	4	1	129	318	1001 Bay Street	0	1	0	17	5	1	11	60	32	47.24%	45.74%	46.34%	1001 Bay Street
94	467		51	53	0	3	0	107	212	460 Jarvis Street	2	4	3	24	11	1	3	43	13	41.35%	49.53%	46.26%	460 Jarvis Street
94	118		66	63	0	0	0	129	317	John Innes Community Centre	2	0	0	27	2	0	11	54	32	42.19%	48.84%	46.18%	John Innes Community Centre
94	49		30	34	1	0	0	65	156	Church Street Community Centre (519 Church Street)	0	0	0	20	3	0	9	24	9	36.92%	52.31%	46.15%	Church Street Community Centre (519 Church Street)
94	109		24	19	0	3	0	46	222	John Innes Community Centre	1	2	0	10	1	0	1	24	6	53.33%	41.30%	46.12%	John Innes Community Centre
94	417		31	34	0	0	1	66	190	877 Yonge Street - Fellowship Towers	0	1	0	26	1	0	6	25	7	37.88%	51.52%	46.06%	877 Yonge Street - Fellowship Towers
94	453		40	31	0	0	0	71	147	Church Street Community Centre (519 Church Street)	0	0	0	17	0	1	6	34	12	48.57%	43.66%	45.63%	Church Street Community Centre (519 Church Street)
94	414		27	28	0	2	0	57	124	Church of the Redeemer	0	1	0	8	1	0	9	23	15	40.35%	49.12%	45.61%	Church of the Redeemer
94	412		51	29	0	0	2	82	144	Branksome Hall	0	0	0	13	0	0	5	50	14	60.98%	35.37%	45.61%	Branksome Hall
94	533		43	31	0	0	1	75	127	50 Lombard Street - The Indigo	0	0	0	10	2	0	7	39	17	52.00%	41.33%	45.60%	50 Lombard Street - The Indigo
94	442		23	21	0	0	3	47	105	102 Bloor Street West	0	0	0	5	1	0	6	22	13	46.81%	44.68%	45.53%	102 Bloor Street West
94	027B		57	53	0	2	0	112	325	Branksome Hall	1	0	0	7	1	0	16	47	38	42.73%	47.32%	45.48%	Branksome Hall
94	444		92	76	0	0	1	169	339	57 Charles Street West - Bay Charles Apartments	1	0	1	33	2	0	18	77	37	45.56%	44.97%	45.21%	57 Charles Street West - Bay Charles Apartments
94	421		97	80	0	2	0	179	576	École élémentaire catholique Sacré-Coeur	1	1	2	45	2	0	19	82	27	45.81%	44.69%	45.14%	École élémentaire catholique Sacré-Coeur
94	503		91	69	3	18	2	183	332	423 Yonge Street - Collegeview Apartments	6	6	3	20	16	2	5	99	20	55.93%	37.70%	45.00%	423 Yonge Street - Collegeview Apartments
94	538		51	30	0	0	1	82	147	39 Jarvis Street - The St. James	0	0	0	6	0	0	3	46	25	57.50%	36.59%	44.95%	39 Jarvis Street - The St. James
94	475		36	32	0	1	0	69	142	555 Yonge Street	0	0	0	7	2	0	11	29	19	42.65%	46.38%	44.88%	555 Yonge Street
94	548		79	66	0	8	0	153	319	85 The Esplanade - Old York Tower	1	1	3	39	9	2	4	71	20	47.33%	43.14%	44.82%	85 The Esplanade - Old York Tower
94	110		33	36	1	3	0	73	283	John Innes Community Centre	1	1	1	15	2	0	2	27	22	38.03%	49.32%	44.80%	John Innes Community Centre
94	28		103	86	0	0	2	191	441	877 Yonge Street - Fellowship Towers	0	0	0	17	0	0	25	84	63	44.44%	45.03%	44.79%	877 Yonge Street - Fellowship Towers
94	36		95	65	0	4	0	164	343	877 Yonge Street - Fellowship Towers	0	0	0	18	4	0	11	85	45	52.15%	39.63%	44.64%	877 Yonge Street - Fellowship Towers
94	106		55	64	3	0	8	130	260	Dixon Hall	0	1	2	37	0	0	15	49	26	37.69%	49.23%	44.62%	Dixon Hall
94	568		105	71	3	1	0	180	470	1055 Bay Street - Polo Club I	1	0	0	24	4	0	18	90	38	51.43%	39.44%	44.24%	1055 Bay Street - Polo Club I
94	525		53	47	2	5	7	114	330	275 Shuter Street	1	0	1	37	3	1	6	55	9	48.67%	41.23%	44.21%	275 Shuter Street
94	401		52	32	0	3	0	87	129	1177 Yonge Street - The Ports	0	0	0	1	1	0	9	48	28	55.17%	36.78%	44.14%	1177 Yonge Street - The Ports
94	400		109	72	0	2	1	184	336	7 Jackes Avenue - Summerhill Apartments	0	1	0	31	1	0	18	95	38	51.63%	39.13%	44.13%	7 Jackes Avenue - Summerhill Apartments
94	15		112	82	0	1	0	195	407	Our Lady of Perpetual Help School	2	0	0	14	1	0	24	91	63	46.67%	42.05%	43.90%	Our Lady of Perpetual Help School
94	9		102	74	0	1	0	177	328	Rosedale United Church	0	0	0	10	1	0	25	83	58	46.89%	41.81%	43.84%	Rosedale United Church
94	71		80	55	0	0	0	135	290	Winchester Junior and Senior Public School	0	0	0	19	0	0	26	63	22	48.46%	40.74%	43.83%	Winchester Junior and Senior Public School
94	131		51	29	0	1	0	81	201	St. Michael Catholic School	0	1	0	6	3	0	5	45	21	55.56%	35.80%	43.70%	St. Michael Catholic School
94	558		63	51	0	2	0	116	262	18 Yorkville Avenue	0	0	0	12	1	0	11	50	42	43.10%	43.97%	43.62%	18 Yorkville Avenue
94	31		85	68	0	2	0	155	296	Branksome Hall	0	0	0	17	1	0	26	67	44	43.23%	43.87%	43.61%	Branksome Hall
94	406		41	32	0	1	0	74	142	77 McMurrich Street	0	0	0	5	0	0	3	32	33	43.84%	43.24%	43.48%	77 McMurrich Street
94	130A		213	146	0	4	1	364	548	St. Lawrence Market North	2	1	0	28	7	0	34	173	115	48.06%	40.11%	43.29%	St. Lawrence Market North
94	526		47	40	0	2	12	101	356	275 Shuter Street	4	1	1	29	5	0	3	48	8	48.48%	39.60%	43.16%	275 Shuter Street
94	524		81	61	2	11	0	155	337	275 Shuter Street	4	1	0	52	5	0	3	75	15	48.39%	39.35%	42.97%	275 Shuter Street
94	501		57	33	1	1	0	92	187	Our Lady of Lourdes Catholic School	0	0	0	6	1	0	3	49	33	53.26%	35.87%	42.83%	Our Lady of Lourdes Catholic School
94	413		127	81	0	0	1	209	300	21 Dale Avenue - Kensington Apartments	0	0	0	15	1	0	23	102	68	48.80%	38.76%	42.78%	21 Dale Avenue - Kensington Apartments
94	410		63	31	0	2	0	96	142	120 Rosedale Valley Road - Arbour Glen Apartments	1	1	0	6	3	0	4	56	25	58.33%	32.29%	42.71%	120 Rosedale Valley Road - Arbour Glen Apartments
94	544		48	28	3	7	0	86	152	33 Hahn Place - La Place St Laurent	0	0	1	19	0	1	8	48	6	57.83%	32.56%	42.67%	33 Hahn Place - La Place St Laurent
94	32		102	61	0	2	0	165	340	Branksome Hall	0	0	0	5	1	1	18	84	56	50.91%	36.97%	42.55%	Branksome Hall
94	96		23	43	3	28	8	105	141	120 Cornwall Street - Oak Street Co-operative	0	2	0	29	1	0	11	44	11	44.90%	40.95%	42.53%	120 Cornwall Street - Oak Street Co-operative
94	40		63	42	0	0	1	106	362	Church of the Redeemer	3	0	0	15	0	0	3	49	35	46.67%	39.62%	42.44%	Church of the Redeemer
94	452		85	52	0	1	0	138	235	66 Isabella Street - Town Square	0	1	0	34	5	0	15	68	15	49.28%	37.68%	42.32%	66 Isabella Street - Town Square
94	534		42	42	1	2	0	87	160	Muriel Collins Housing Co-operative	1	0	0	25	3	0	8	28	22	32.18%	48.28%	41.84%	Muriel Collins Housing Co-operative
94	5		139	114	0	2	1	256	427	Our Lady of Perpetual Help Church	0	0	0	19	1	0	30	94	111	36.86%	44.53%	41.46%	Our Lady of Perpetual Help Church
94	447B		150	74	1	6	1	232	452	44 Charles Street - Manulife Centre	1	1	0	29	6	0	5	129	61	55.60%	31.90%	41.38%	44 Charles Street - Manulife Centre
94	041s		14	8	0	0	5	27	94	Toronto Grace Hospital	0	0	0	2	2	0	3	15	4	57.69%	29.63%	40.85%	Toronto Grace Hospital
94	11		80	62	0	1	0	143	280	Rosedale United Church	0	0	0	19	0	0	24	52	46	36.88%	43.36%	40.77%	Rosedale United Church
94	101		36	50	1	0	0	87	269	Lord Dufferin Junior and Senior Public School	0	0	19	1	0	7	46	13	0	15.12%	57.47%	40.53%	Lord Dufferin Junior and Senior Public School
94	532		21	16	1	1	0	39	99	210 Victoria Street - Pantages Tower	0	0	1	6	1	0	6	15	9	39.47%	41.03%	40.40%	210 Victoria Street - Pantages Tower
94	486		38	26	0	6	3	73	299	220 Oak Street	1	0	0	19	7	0	1	34	10	47.22%	35.62%	40.26%	220 Oak Street
94	130B		122	64	0	0	0	186	567	St. Lawrence Market North	1	0	0	15	3	1	10	91	65	48.92%	34.41%	40.22%	St. Lawrence Market North
94	033-1		14	12	0	0	0	26	96	Jesse Ketchum Junior and Senior Public School	0	0	0	2	0	0	0	8	16	30.77%	46.15%	40.00%	Jesse Ketchum Junior and Senior Public School
94	20		84	50	0	0	1	135	290	877 Yonge Street - Fellowship Towers	0	0	1	11	1	0	13	60	49	44.44%	37.04%	40.00%	877 Yonge Street - Fellowship Towers
94	027A		64	43	0	0	0	107	344	Branksome Hall	0	0	0	13	0	0	23	42	28	39.62%	40.19%	39.96%	Branksome Hall
94	557		47	30	0	5	2	84	128	111 Avenue Road	0	0	1	10	2	1	6	37	23	46.25%	35.71%	39.93%	111 Avenue Road
94	25		100	58	0	3	0	161	300	Rosedale Junior Public School	0	2	0	8	1	0	16	71	63	44.10%	36.02%	39.25%	Rosedale Junior Public School
94	1		135	79	0	2	0	216	378	Our Lady of Perpetual Help Church	0	0	0	11	0	1	23	93	87	43.26%	36.57%	39.25%	Our Lady of Perpetual Help Church
94	19		79	55	3	5	2	144	331	Jesse Ketchum Junior and Senior Public School	0	0	0	19	2	1	12	57	49	40.71%	38.19%	39.20%	Jesse Ketchum Junior and Senior Public School
94	26		107	60	2	1	11	181	300	Rosedale Presbyterian	0	0	0	9	1	0	20	81	59	47.65%	33.15%	38.95%	Rosedale Presbyterian
94	34		55	35	1	1	0	92	248	Jesse Ketchum Junior and Senior Public School	0	0	0	9	1	0	10	37	35	40.22%	38.04%	38.91%	Jesse Ketchum Junior and Senior Public School
94	422		104	46	1	2	1	154	275	360 Bloor Street East - 360 on Bloor	1	0	0	11	0	0	14	78	49	50.98%	29.87%	38.31%	360 Bloor Street East - 360 on Bloor
94	24		87	54	0	0	0	141	326	877 Yonge Street - Fellowship Towers	0	0	0	15	0	0	25	51	43	38.06%	38.30%	38.20%	877 Yonge Street - Fellowship Towers
94	419		135	62	1	0	3	201	283	278 Bloor Street East - Rosedale Glen	0	0	1	13	4	0	10	97	75	48.50%	30.85%	37.91%	278 Bloor Street East - Rosedale Glen
94	402		72	43	0	8	0	123	203	20 Scrivener Square - Thornwood I	0	0	0	8	0	1	9	52	53	42.28%	34.96%	37.89%	20 Scrivener Square - Thornwood I
94	6		137	77	0	0	3	217	361	Our Lady of Perpetual Help School	0	2	0	7	3	0	29	89	86	41.20%	35.48%	37.77%	Our Lady of Perpetual Help School
94	447A		144	69	0	6	0	219	438	44 Charles Street - Manulife Centre	1	1	1	17	5	0	25	103	66	47.03%	31.51%	37.72%	44 Charles Street - Manulife Centre
94	35		72	31	0	2	2	107	278	Jesse Ketchum Junior and Senior Public School	1	0	1	8	1	0	6	54	36	50.47%	28.97%	37.57%	Jesse Ketchum Junior and Senior Public School
94	129		86	58	0	3	0	147	359	St. Lawrence Community Centre	3	0	3	31	2	0	24	51	33	34.69%	39.46%	37.55%	St. Lawrence Community Centre
94	2		145	72	0	0	0	217	379	Our Lady of Perpetual Help Church	0	0	0	13	1	0	17	94	90	43.72%	33.18%	37.40%	Our Lady of Perpetual Help Church
94	068s		36	9	0	10	0	55	255	Fudger House	2	2	0	4	3	1	1	36	4	67.92%	16.36%	36.99%	Fudger House
94	30		106	44	1	10	4	165	291	877 Yonge Street - Fellowship Towers	0	1	0	22	2	2	7	84	43	52.17%	26.67%	36.87%	877 Yonge Street - Fellowship Towers
94	416		43	29	0	10	0	82	143	18 Davenport Road - McMurrich Place	2	1	0	19	5	2	5	31	15	38.75%	35.37%	36.72%	18 Davenport Road - McMurrich Place
94	420		117	70	0	1	0	188	308	300 Bloor Street East - The Bellagio on Bloor	0	1	0	20	4	1	13	67	81	35.83%	37.23%	36.67%	300 Bloor Street East - The Bellagio on Bloor
94	39		36	17	0	1	1	55	141	Church of the Redeemer	0	0	0	6	0	0	6	24	19	43.64%	30.91%	36.00%	Church of the Redeemer
94	403		64	33	1	1	0	99	173	25 Scrivener Square - Thornwood II	0	0	0	4	1	0	4	39	51	39.39%	33.33%	35.76%	25 Scrivener Square - Thornwood II
94	441		36	21	0	0	0	57	117	131 Bloor Street West - The Colonnade	0	1	0	5	1	0	4	19	27	33.33%	36.84%	35.44%	131 Bloor Street West - The Colonnade
94	95		60	58	2	12	97	229	743	Sprucecourt Junior Public School	3	1	2	89	6	1	1	115	10	50.44%	25.33%	35.37%	Sprucecourt Junior Public School
94	089s		21	8	0	0	1	30	125	Rekai Centre	0	0	0	6	0	2	0	13	6	48.15%	26.67%	35.26%	Rekai Centre
94	440		71	30	2	0	1	104	197	110 Bloor Street West	0	0	0	4	0	0	3	45	51	43.69%	28.85%	34.78%	110 Bloor Street West
94	18		97	39	0	4	0	140	268	Rosedale Junior Public School	0	0	0	6	1	0	8	62	61	44.93%	27.86%	34.69%	Rosedale Junior Public School
94	8		155	69	0	2	0	226	367	Our Lady of Perpetual Help School	0	0	0	9	1	0	18	91	105	40.63%	30.53%	34.57%	Our Lady of Perpetual Help School
94	054s		38	17	0	2	5	62	135	Wellesley Central Place Rekai Centre	1	2	2	7	3	1	3	25	13	43.86%	27.42%	34.00%	Wellesley Central Place Rekai Centre
94	23		79	41	0	0	0	120	241	Rosedale Presbyterian	0	0	0	5	1	1	15	37	57	31.90%	34.17%	33.26%	Rosedale Presbyterian
94	7		124	59	0	0	2	185	371	Our Lady of Perpetual Help Church	0	0	0	11	1	0	10	64	99	34.59%	31.89%	32.97%	Our Lady of Perpetual Help Church
94	22		102	40	0	0	0	142	251	Rosedale Presbyterian	0	0	0	8	0	0	15	56	63	39.44%	28.17%	32.68%	Rosedale Presbyterian
94	404		47	20	0	1	0	68	140	Church of the Redeemer	0	0	0	4	0	0	5	25	34	36.76%	29.41%	32.35%	Church of the Redeemer
94	21		125	54	0	3	1	183	349	Rosedale Junior Public School	1	0	0	5	1	0	11	67	98	36.61%	29.51%	32.35%	Rosedale Junior Public School
94	408		56	39	0	0	0	95	158	980 Yonge Street - The Ramsden	0	0	0	0	7	2	0	13	48	18.57%	41.05%	32.06%	980 Yonge Street - The Ramsden
94	3		143	68	0	0	0	211	364	Our Lady of Perpetual Help School	1	1	0	6	1	0	25	66	111	31.28%	32.23%	31.85%	Our Lady of Perpetual Help School
94	516		35	23	2	17	0	77	160	310 Dundas Street East - William Dennison	4	1	0	14	14	2	4	24	6	34.78%	29.87%	31.84%	310 Dundas Street East - William Dennison
94	13		181	80	0	2	0	263	445	Rosedale United Church	0	1	0	11	0	1	26	88	135	33.59%	30.42%	31.69%	Rosedale United Church
94	16		150	66	0	5	0	221	362	Rosedale Junior Public School	0	1	0	8	0	1	17	74	120	33.48%	29.86%	31.31%	Rosedale Junior Public School
94	521		82	32	0	1	0	115	199	75 Dalhousie Street - The Boot	0	0	1	33	1	0	16	41	21	36.28%	27.83%	31.21%	75 Dalhousie Street - The Boot
94	17		151	53	0	1	1	206	409	Rosedale United Church	0	0	0	1	0	0	15	79	109	38.73%	25.73%	30.93%	Rosedale United Church
94	4		130	51	1	1	0	183	322	Rosedale United Church	0	0	0	4	2	1	26	64	85	35.16%	27.87%	30.79%	Rosedale United Church
94	10		182	63	1	1	0	247	404	Our Lady of Perpetual Help School	0	0	0	1	1	0	19	90	135	36.59%	25.51%	29.94%	Our Lady of Perpetual Help School
94	14		153	52	0	1	0	206	403	Rosedale United Church	0	1	0	2	1	0	14	72	115	35.12%	25.24%	29.19%	Rosedale United Church
94	443		72	18	0	0	2	92	136	1166 Bay Street	0	0	0	2	1	0	2	34	53	36.96%	19.57%	26.52%	1166 Bay Street
94	559		43	16	0	3	0	62	158	10 Bellair Street	0	0	0	1	0	0	1	13	47	20.97%	25.81%	23.87%	10 Bellair Street
94	439		57	20	0	1	0	78	136	175 Cumberland Street - Renaissance Place	0	2	0	6	0	0	3	0	42	0.00%	25.64%	15.38%	175 Cumberland Street - Renaissance Place
94	528		2	2	0	0	0	4	15	210 Victoria Street - Pantages Tower	0	0	0	0	0	0	0	4	0	100.00%	50.00%	0.00%	210 Victoria Street - Pantages Tower
94	112s		7	12	0	1	0	20	24	St. Jude's Community Home - 270 Milan Street	2	1	0	3	0	0	0	12	0	66.67%	60.00%	0.00%	St. Jude's Community Home - 270 Milan Street
94	103s		11	10	0	1	0	22	44	St. Jude's Community Home - 270 Milan Street	0	0	0	2	1	0	0	18	1	81.82%	45.45%	0.00%	St. Jude's Community Home - 270 Milan Street
94	513		4	13	0	3	0	20	93	John Innes Community Centre	0	0	2	6	0	0	0	9	2	47.37%	65.00%	0.00%	John Innes Community Centre
94	509		8	9	0	0	0	17	92	John Innes Community Centre	0	0	0	4	0	0	3	7	3	41.18%	52.94%	0.00%	John Innes Community Centre
94	514		11	8	0	2	0	21	124	John Innes Community Centre	1	0	1	1	3	0	1	8	6	38.10%	38.10%	0.00%	John Innes Community Centre
								143.7911392405															
								119.1182714276															
